"","hlev2g","wksuem","agegp","efmjsi","efmjie"
"1",3,96,16,4,1
"2",3,96,16,4,2
"3",3,0,10,2,1
"4",3,4,10,2,2
"5",2,52,6,2,2
"6",3,0,6,2,2
"7",6,96,3,2,2
"8",1,96,16,3,2
"9",2,0,13,3,2
"10",4,0,14,3,2
"11",2,0,6,3,1
"12",6,96,1,3,2
"13",4,0,7,2,1
"14",4,0,8,2,2
"15",1,96,16,4,2
"16",1,96,16,4,1
"17",2,0,11,2,1
"18",2,96,16,6,2
"19",3,96,16,6,1
"20",3,0,14,6,2
"21",2,0,14,6,1
"22",3,0,10,2,2
"23",4,0,11,2,1
"24",1,0,4,2,2
"25",6,96,3,2,2
"26",2,3,7,2,2
"27",2,0,7,2,1
"28",4,0,10,3,1
"29",2,0,9,3,2
"30",3,0,10,2,1
"31",3,0,8,5,1
"32",3,0,8,5,2
"33",6,96,3,5,2
"34",6,96,2,5,2
"35",6,96,1,5,2
"36",1,0,13,3,1
"37",2,0,13,3,2
"38",3,32,13,2,1
"39",4,0,8,2,1
"40",2,0,13,2,2
"41",3,0,14,2,2
"42",3,12,6,2,1
"43",2,4,6,2,2
"44",3,0,8,2,2
"45",4,0,9,2,1
"46",6,96,2,2,2
"47",6,96,2,2,2
"48",4,0,11,2,1
"49",4,0,14,2,2
"50",2,0,9,2,1
"51",6,96,3,2,2
"52",6,96,2,2,2
"53",6,96,1,2,2
"54",3,0,10,4,1
"55",6,96,3,4,2
"56",6,96,3,4,2
"57",1,0,16,5,1
"58",2,0,13,2,1
"59",1,0,13,2,2
"60",3,0,12,4,2
"61",1,8,4,4,2
"62",6,96,3,4,2
"63",1,0,7,4,1
"64",2,96,16,4,1
"65",2,0,12,2,2
"66",2,0,11,2,2
"67",2,0,6,2,1
"68",2,0,6,2,2
"69",4,0,13,2,2
"70",4,52,13,2,1
"71",1,96,16,4,1
"72",1,0,12,4,2
"73",3,0,9,2,1
"74",3,0,9,2,2
"75",6,96,1,2,2
"76",1,96,16,4,1
"77",1,96,16,4,2
"78",3,0,14,4,1
"79",2,0,10,4,1
"80",3,0,15,4,2
"81",3,96,16,4,1
"82",1,0,12,2,2
"83",1,0,12,2,1
"84",4,0,7,2,1
"85",4,12,7,2,2
"86",1,0,15,2,1
"87",3,12,6,2,2
"88",1,36,16,2,2
"89",4,0,8,2,2
"90",4,0,8,2,1
"91",4,0,14,2,2
"92",3,0,15,2,1
"93",4,0,9,2,2
"94",4,0,10,2,1
"95",2,0,9,2,2
"96",6,96,3,2,2
"97",6,96,3,2,2
"98",6,96,2,2,2
"99",2,0,12,3,1
"100",4,0,9,2,1
"101",2,0,6,2,2
"102",6,96,1,2,2
"103",6,96,1,2,2
"104",4,0,13,2,2
"105",4,0,13,2,1
"106",3,0,9,2,1
"107",6,96,3,2,2
"108",6,96,2,2,2
"109",3,0,12,2,1
"110",2,0,9,2,2
"111",6,96,3,2,2
"112",6,96,3,2,2
"113",2,0,7,2,2
"114",4,0,7,2,1
"115",3,96,16,4,1
"116",9,0,8,2,2
"117",3,0,7,2,2
"118",6,96,2,2,2
"119",6,96,1,2,2
"120",2,0,11,2,2
"121",2,0,11,2,1
"122",3,0,6,2,2
"123",2,0,14,3,1
"124",4,96,16,4,1
"125",1,0,15,4,2
"126",3,0,9,2,2
"127",3,40,9,2,1
"128",1,0,4,2,2
"129",6,96,1,2,2
"130",6,96,3,2,2
"131",1,96,16,4,1
"132",1,96,16,4,2
"133",1,96,16,4,2
"134",1,0,9,2,1
"135",4,0,10,2,2
"136",6,96,1,2,2
"137",2,8,6,2,2
"138",6,96,1,2,2
"139",2,0,10,2,1
"140",6,96,3,2,2
"141",6,96,2,2,2
"142",2,0,13,2,2
"143",1,0,13,2,1
"144",4,0,7,7,1
"145",3,0,12,2,1
"146",1,28,14,2,1
"147",1,10,13,2,2
"148",2,52,7,2,2
"149",3,96,16,6,1
"150",3,96,16,6,2
"151",3,0,14,6,2
"152",4,0,15,6,1
"153",2,52,10,4,1
"154",2,0,9,2,1
"155",3,4,8,2,1
"156",6,96,1,2,2
"157",2,13,13,2,1
"158",9,0,11,2,2
"159",1,0,6,2,2
"160",2,0,4,2,2
"161",4,36,11,2,2
"162",4,0,11,2,1
"163",3,16,6,2,2
"164",4,0,12,5,1
"165",2,0,6,5,2
"166",3,0,12,2,1
"167",2,0,12,2,2
"168",2,36,12,2,2
"169",2,0,7,2,1
"170",2,0,7,4,1
"171",4,0,8,2,1
"172",1,96,16,4,1
"173",2,0,12,2,1
"174",3,0,12,2,2
"175",2,20,6,2,2
"176",2,0,6,2,2
"177",2,0,6,2,2
"178",2,0,14,6,1
"179",1,0,13,6,2
"180",2,0,12,2,2
"181",4,0,12,2,1
"182",1,10,4,2,2
"183",2,0,6,2,2
"184",3,96,16,4,1
"185",1,96,16,6,1
"186",2,96,16,6,2
"187",1,96,16,4,1
"188",3,0,14,2,1
"189",1,0,12,2,2
"190",1,0,5,2,2
"191",4,1,14,2,1
"192",4,0,7,2,1
"193",4,0,7,2,2
"194",3,0,13,2,1
"195",4,0,14,2,2
"196",2,0,6,2,2
"197",2,0,5,2,2
"198",3,0,6,2,2
"199",4,0,15,2,1
"200",3,0,12,2,2
"201",4,0,13,2,1
"202",4,96,16,6,2
"203",3,0,11,6,2
"204",4,96,16,6,1
"205",3,0,11,2,1
"206",2,0,5,2,2
"207",3,0,10,2,2
"208",2,0,15,5,1
"209",2,0,15,5,2
"210",4,0,10,2,1
"211",4,0,9,2,2
"212",6,96,3,2,2
"213",6,96,2,2,2
"214",3,0,13,2,1
"215",3,0,8,2,1
"216",9,0,7,2,2
"217",4,0,14,3,2
"218",4,0,14,3,1
"219",4,0,13,3,1
"220",4,0,13,2,1
"221",1,96,16,2,2
"222",1,96,16,2,1
"223",3,0,10,2,2
"224",4,0,7,4,1
"225",2,0,14,2,1
"226",2,0,13,2,2
"227",3,0,11,2,1
"228",1,0,9,4,1
"229",2,0,12,2,1
"230",4,0,8,2,1
"231",4,0,13,2,1
"232",2,0,12,2,2
"233",1,0,5,2,2
"234",1,0,11,2,1
"235",1,0,5,2,2
"236",1,0,15,4,1
"237",4,0,15,4,1
"238",9,22,15,4,1
"239",2,0,10,2,2
"240",1,0,12,2,2
"241",4,0,7,2,2
"242",6,96,3,2,2
"243",6,96,2,2,2
"244",9,0,7,2,1
"245",3,0,12,2,1
"246",3,0,13,2,2
"247",3,0,14,2,2
"248",2,0,13,2,2
"249",2,0,7,2,1
"250",4,0,7,2,2
"251",3,0,14,6,1
"252",1,96,16,4,1
"253",3,96,16,4,2
"254",4,0,10,2,1
"255",3,0,9,2,2
"256",6,96,2,2,2
"257",2,0,10,2,2
"258",3,0,13,2,1
"259",1,52,4,2,2
"260",2,0,13,2,1
"261",2,36,6,2,2
"262",2,36,5,5,2
"263",2,36,5,2,1
"264",2,36,6,5,1
"265",2,96,16,6,1
"266",2,10,16,4,1
"267",3,0,14,2,1
"268",1,96,16,6,1
"269",3,0,14,6,1
"270",2,0,13,6,2
"271",3,0,8,6,2
"272",4,0,7,2,1
"273",2,0,7,2,2
"274",1,96,16,4,1
"275",1,96,16,4,2
"276",4,0,7,2,2
"277",3,0,7,2,1
"278",1,96,16,4,1
"279",4,0,15,6,2
"280",4,0,15,6,1
"281",1,96,16,6,1
"282",3,96,16,2,2
"283",1,96,16,2,1
"284",3,0,11,2,2
"285",2,0,5,2,2
"286",2,0,6,2,2
"287",2,0,15,2,1
"288",3,0,8,2,2
"289",4,0,9,2,1
"290",6,96,1,2,2
"291",4,0,10,2,1
"292",9,9,12,2,1
"293",2,0,6,6,2
"294",1,0,13,6,2
"295",1,0,13,6,1
"296",1,2,4,6,2
"297",3,0,6,6,2
"298",3,0,8,2,1
"299",4,0,14,3,1
"300",3,0,10,2,1
"301",2,0,9,4,1
"302",6,96,3,4,2
"303",6,96,2,4,2
"304",4,0,10,2,1
"305",3,0,7,2,1
"306",4,0,8,2,2
"307",6,96,1,2,2
"308",6,96,1,2,2
"309",3,0,13,2,2
"310",4,0,14,2,1
"311",2,0,13,2,2
"312",3,0,8,2,1
"313",9,16,8,2,2
"314",6,96,1,2,2
"315",3,0,10,2,2
"316",2,0,8,2,1
"317",6,96,1,2,2
"318",2,0,6,2,2
"319",2,0,7,2,1
"320",3,30,9,2,2
"321",3,0,10,2,1
"322",2,0,15,2,1
"323",4,0,15,6,1
"324",4,0,8,2,1
"325",4,0,8,2,2
"326",6,96,1,2,2
"327",2,0,15,4,2
"328",2,0,15,4,1
"329",4,0,14,4,1
"330",1,0,12,4,1
"331",2,0,12,4,1
"332",2,0,15,6,1
"333",2,0,15,6,2
"334",1,96,16,4,1
"335",3,0,14,6,1
"336",3,0,14,6,2
"337",2,0,10,6,2
"338",1,0,15,2,1
"339",3,0,15,2,2
"340",4,0,7,2,1
"341",4,3,7,2,2
"342",4,0,9,2,1
"343",4,28,9,2,2
"344",3,0,8,2,2
"345",3,0,7,2,1
"346",2,0,14,7,1
"347",2,0,15,4,2
"348",2,0,15,4,1
"349",1,0,5,4,2
"350",1,0,15,2,2
"351",2,0,14,2,1
"352",1,96,16,6,1
"353",4,0,15,6,1
"354",4,0,15,6,2
"355",4,0,14,2,1
"356",2,0,13,2,2
"357",3,0,9,2,1
"358",2,0,9,2,1
"359",2,0,10,2,2
"360",1,96,16,4,1
"361",1,96,16,4,2
"362",3,0,8,2,1
"363",6,96,2,2,2
"364",6,96,1,2,2
"365",6,96,1,2,2
"366",2,0,13,2,1
"367",3,0,8,2,2
"368",4,0,8,2,1
"369",6,96,1,2,2
"370",6,96,1,2,2
"371",6,96,1,2,2
"372",3,0,10,2,1
"373",4,0,9,2,2
"374",3,0,13,2,2
"375",4,0,12,2,1
"376",3,0,10,2,2
"377",3,0,10,2,1
"378",2,0,5,2,2
"379",2,0,11,2,1
"380",2,19,11,2,2
"381",2,0,6,2,2
"382",2,0,4,2,2
"383",3,0,11,2,2
"384",2,0,11,2,1
"385",6,96,3,2,2
"386",6,96,3,2,2
"387",6,96,2,2,2
"388",2,0,12,2,1
"389",4,0,13,2,2
"390",2,96,16,5,2
"391",2,96,16,5,1
"392",4,0,13,2,2
"393",4,0,10,2,1
"394",6,96,2,2,2
"395",3,0,9,2,1
"396",3,0,9,2,2
"397",6,96,3,2,2
"398",6,96,2,2,2
"399",6,96,2,2,2
"400",6,96,1,2,2
"401",3,2,7,2,2
"402",4,0,7,2,1
"403",4,0,7,2,1
"404",6,96,2,2,2
"405",6,96,1,2,2
"406",6,96,1,2,2
"407",4,0,10,2,1
"408",4,0,12,2,2
"409",1,0,4,2,2
"410",6,96,3,2,2
"411",2,0,8,2,1
"412",4,2,9,2,2
"413",6,96,1,2,2
"414",6,96,1,2,2
"415",6,96,1,2,2
"416",2,0,6,2,2
"417",2,0,13,4,1
"418",2,0,11,2,2
"419",3,0,11,2,1
"420",6,96,3,2,2
"421",6,96,3,2,2
"422",2,0,5,2,2
"423",3,0,14,2,1
"424",4,52,14,2,2
"425",2,0,7,2,2
"426",3,0,7,2,1
"427",6,96,2,2,2
"428",6,96,1,2,2
"429",6,96,1,2,2
"430",6,96,1,2,2
"431",4,0,14,6,1
"432",4,96,16,4,1
"433",3,96,16,4,2
"434",1,96,16,4,1
"435",1,0,15,4,2
"436",1,96,16,4,1
"437",1,0,14,2,1
